_id,x,y,objectid,terminal_id,node,location,lot,rate,maxhours,date1,time1,date2,time2,restdates,resttime1,resttime2,specialev,created_user,created_date,last_edited_user,last_edited_date,ratetimea,ratetimeb,rate2
89613,-79.9205256113991,40.4386063450408,844,322538-FSHADY0003,FORB-SHA-L,FORBES SHADY LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89614,-79.9224910692258,40.4324455020643,850,323539-DPHILP0001,DOUG-PHI-L,DOUGLAS PHILLIPS LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89615,-79.9225900815167,40.4328045534824,851,323540-DPHILP0002,DOUG-PHI-L,DOUGLAS PHILLIPS LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89616,-79.9224488598381,40.4385182620924,845,324541-FMURRY0001,FORB-MUR-L,FORBES MURRAY LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89617,-79.9224130144183,40.4384488477129,846,324542-FMURRY0002,FORB-MUR-L,FORBES MURRAY LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89618,-79.922669705337,40.4388841734475,847,324572-FMURRY0003,FORB-MUR-L,FORBES MURRAY LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89619,-79.923620090798,40.4377534900881,848,325543-JCCLOT0001,JCC-L,JCC/FORBES LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89620,-79.9241885830409,40.43777476453,849,325544-JCCLOT0002,JCC-L,JCC/FORBES LOT,Lot,$2 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89621,-79.9340240508897,40.4515719124699,668,328545-IVYBEL0001,IVY-BELL-L,IVY BELLEFONTE LOT,Lot,$2 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89622,-79.9335941354221,40.4517023995797,669,328546-IVYBEL0002,IVY-BELL-L,IVY BELLEFONTE LOT,Lot,$2 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89623,-79.933233686242,40.4517739741019,670,328547-IVYBEL0003,IVY-BELL-L,IVY BELLEFONTE LOT,Lot,$2 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
